"actor_id","Participation grade: Formative (not included in final grade)","Assignment 1 Current Score","Assignment 2 Current Score","Assignment 3 Current Score","Participation & engagement Current Score","Assignment Average","Total Average","image004.jpg","image024.png","image004.png","image026.png","image022.png","image010.png","image016.png","image013.png","image018.png","image001.png","image027.png","image025.png","image011.png","image029.png","image012.png","image005.png","image028.png","image002.png","image008.png","image005.jpg","image015.png","image009.png","image030.png","image006.png","image002.jpg","image003.png","image007.png","image014.png","image019.png","image023.png","image020.png","image003.jpg","image001.jpg","image017.png","image021.png"
"LEARNER_1","9",79,84,73,90,78.6666666666667,81.5,87,3,NA,4,4,7,4,6,69,87,4,4,4,NA,NA,109,2,NA,71,1,41,45,1,58,NA,26,65,31,13,4,9,1,1,20,4
"LEARNER_10","8.5",88,72,74,85,78,79.75,80,2,4,4,3,4,3,11,32,53,3,3,4,NA,NA,40,31,NA,43,NA,32,4,3,176,2,36,31,21,3,3,2,5,4,18,3
"LEARNER_11","9",90,79,82,90,83.6666666666667,85.25,118,7,7,10,6,11,6,21,128,105,6,6,8,NA,NA,86,33,NA,128,1,55,21,1,166,2,120,53,43,11,6,1,7,9,63,6
"LEARNER_12","8",86,87,73,80,82,81.5,260,1,13,3,1,9,1,12,80,101,1,1,9,2,NA,101,30,NA,90,1,47,20,1,182,8,41,93,40,21,1,14,3,2,17,1
"LEARNER_13","8",88,86,87,80,87,85.25,447,5,3,20,3,11,3,34,126,134,3,3,11,1,NA,103,116,NA,133,1,112,9,2,646,1,117,78,99,17,3,4,4,5,76,3
"LEARNER_14","6",95,92,86,60,91,83.25,101,2,4,4,1,6,1,4,64,35,1,1,1,NA,NA,37,40,NA,94,1,48,2,1,154,8,64,38,45,14,1,4,4,5,42,1
"LEARNER_15","6",90,79,75,60,81.3333333333333,76,117,1,1,1,1,7,1,16,34,78,1,1,5,NA,NA,73,10,NA,60,1,20,7,1,84,NA,22,56,7,6,1,5,NA,NA,28,1
"LEARNER_16","10",88,71,77,100,78.6666666666667,84,247,8,NA,9,7,9,7,6,53,54,7,7,6,NA,NA,54,43,NA,69,1,41,14,1,267,2,56,84,17,4,7,1,13,10,13,7
"LEARNER_17","4",80,65,74,40,73,64.75,152,1,1,6,1,2,1,16,138,63,1,1,3,1,NA,76,18,NA,131,1,67,3,1,130,4,90,69,78,19,1,9,5,6,56,1
"LEARNER_18","5.5",73,73,74,55,73.3333333333333,68.75,91,NA,7,7,NA,21,NA,22,78,56,NA,NA,20,NA,NA,68,11,NA,84,4,45,25,2,100,1,41,44,36,13,NA,NA,4,7,42,NA
"LEARNER_19","9",90,83,81,90,84.6666666666667,86,142,7,NA,7,7,9,7,10,65,81,7,7,9,NA,NA,87,21,NA,96,1,39,24,1,151,1,78,54,38,10,7,5,11,12,35,7
"LEARNER_2","6",93,85,95,60,91,83.25,63,1,2,4,1,11,1,9,79,81,1,1,19,NA,NA,50,12,NA,89,6,44,10,3,197,16,64,52,41,6,1,11,6,8,38,1
"LEARNER_20","5.5",82,82,59,55,74.3333333333333,69.5,106,4,5,7,4,8,4,21,47,69,4,4,2,NA,NA,77,13,NA,73,NA,34,4,NA,145,1,40,54,24,11,4,3,3,4,26,4
"LEARNER_21","6.5",71,87,84,65,80.6666666666667,76.75,77,7,1,4,7,17,7,23,46,39,7,7,15,NA,NA,37,9,NA,61,1,24,16,1,82,1,39,16,25,4,7,NA,1,2,32,7
"LEARNER_23","10",91,87,83,100,87,90.25,80,4,3,12,5,14,5,22,107,90,5,5,12,NA,NA,55,79,NA,100,2,99,19,5,240,1,88,33,33,9,5,1,9,8,52,5
"LEARNER_24","8.5",95,90,78,85,87.6666666666667,87,161,4,1,12,5,19,5,20,85,70,5,5,19,NA,NA,80,39,NA,97,1,52,31,2,219,2,68,50,36,11,5,1,6,5,57,5
"LEARNER_25","9",93,88,81,90,87.3333333333333,88,107,NA,NA,NA,NA,2,NA,10,7,30,NA,NA,1,NA,NA,32,9,NA,12,NA,5,1,NA,75,3,3,24,4,2,NA,2,1,1,3,NA
"LEARNER_26","10",90,83,82,100,85,88.75,98,1,4,5,NA,5,NA,4,29,25,NA,NA,3,NA,NA,27,2,NA,31,NA,13,5,NA,39,4,27,23,18,5,NA,1,NA,NA,19,NA
"LEARNER_27","5",84,85,69,50,79.3333333333333,72,168,9,1,4,7,7,7,22,69,44,7,7,4,NA,NA,47,27,NA,81,2,32,4,2,99,2,73,29,32,7,7,1,4,3,45,7
"LEARNER_29","8",89,90,83,80,87.3333333333333,85.5,110,5,1,13,8,2,8,19,132,64,8,8,1,NA,NA,56,51,NA,118,2,78,2,2,261,5,81,46,27,8,8,2,9,10,35,8
"LEARNER_3","9",94,92,82,90,89.3333333333333,89.5,222,3,2,9,3,5,3,8,101,76,3,3,5,NA,NA,67,26,NA,126,5,51,10,5,176,3,85,55,32,11,3,2,7,10,55,3
"LEARNER_30","7",77,89,74,70,80,77.5,72,5,6,1,3,8,3,13,74,53,3,3,7,NA,NA,70,28,NA,78,2,51,13,1,192,2,44,63,42,9,3,1,2,2,27,3
"LEARNER_31","7",78,84,77,70,79.6666666666667,77.25,88,3,6,5,1,4,1,9,25,46,1,1,2,NA,NA,36,27,NA,28,1,30,2,1,111,NA,29,29,14,4,1,2,2,2,19,1
"LEARNER_33","4",79,87,74,40,80,70,26,NA,11,1,NA,1,NA,1,25,29,NA,NA,1,NA,NA,20,NA,NA,23,NA,10,5,NA,23,NA,23,20,12,3,NA,11,1,1,15,NA
"LEARNER_34","9",90,78,73,90,80.3333333333333,82.75,73,4,NA,13,3,13,3,13,30,29,3,3,10,NA,NA,39,10,NA,33,NA,31,10,NA,60,NA,27,27,14,2,3,NA,3,3,18,3
"LEARNER_35","8",92,72,77,80,80.3333333333333,80.25,103,6,1,NA,4,9,4,8,45,33,4,4,6,NA,NA,45,10,NA,52,NA,14,9,NA,61,NA,38,31,24,5,4,2,NA,NA,19,4
"LEARNER_36","6",56,84,75,60,71.6666666666667,68.75,64,4,3,3,3,2,3,5,114,47,3,3,2,NA,NA,72,21,NA,118,1,56,5,1,82,5,66,77,61,23,3,3,1,1,51,3
"LEARNER_37","7",94,82,83,70,86.3333333333333,82.25,51,7,5,4,5,9,5,11,62,52,5,5,6,NA,NA,46,10,NA,70,2,37,11,3,75,2,48,31,31,7,5,1,4,3,33,5
"LEARNER_4","10",88,76,75,100,79.6666666666667,84.75,133,11,3,7,10,12,10,16,108,57,10,10,7,NA,NA,56,43,NA,129,5,54,7,6,227,2,79,42,42,14,10,4,5,10,43,10
"LEARNER_5","10",91,82,84,100,85.6666666666667,89.25,164,2,4,4,3,5,3,12,48,62,3,3,5,NA,NA,42,41,NA,53,1,37,6,1,200,1,47,32,27,2,3,2,3,6,29,3
"LEARNER_6","10",94,94,84,100,90.6666666666667,93,228,7,4,19,3,20,3,20,133,66,3,3,17,NA,NA,63,67,NA,158,10,106,15,9,357,4,124,51,90,11,3,1,5,9,89,3
"LEARNER_7","10",92,83,80,100,85,88.75,185,5,4,13,4,16,4,18,121,110,4,4,14,NA,NA,94,45,NA,147,6,69,27,2,256,8,104,76,48,10,4,7,11,12,56,4
"LEARNER_8","8.5",90,88,74,85,84,84.25,59,11,2,21,12,22,12,53,167,118,12,12,19,NA,NA,136,46,NA,222,12,124,20,13,198,3,144,88,69,17,12,5,13,19,106,12
